Image TSC_3_07; scale=1.5947265625e-07; signal=inlens
n°cupule; surface(m**2); fermeture_cupule(boolean); diametre_equivalent(m); grand_axe(m); petit_axe(m)
1; 2.039099922370911e-10; True; 9.774707012720062e-06; 3.2682100258767606e-06; 1.4798395941965282e-06
2; 2.7237166585922246e-11; True; 7.76489417181676e-06; 9.235456311702729e-06; 5.985710010305048e-06
3; 2.3753047237396244e-11; True; 7.851121217660168e-06; 1.844222696349025e-05; 3.916392849572003e-06
4; 2.6906556720733647e-11; True; 3.1803463320200656e-06; 0.0; 0.0
5; 4.175856912612916e-11; True; 4.404717141779542e-06; 1.834904632344842e-06; 1.0547249763272702e-06
6; 3.3239007215499887e-11; True; 1.0181584969642244e-05; 1.0045873350650072e-05; 4.815240002237261e-06
7; 4.4047406654357917e-11; True; 5.839029961181001e-06; 2.669604166969657e-06; 1.9023313545621933e-06
8; 3.5502413215637214e-11; True; 9.881863921391611e-06; 9.912090280279518e-06; 5.033240432478488e-06
9; 3.425626833915711e-11; True; 3.5559456318592037e-06; 0.0; 0.0
10; 2.8356153821945194e-11; True; 7.640635325523674e-06; 9.485106233879925e-06; 4.691377130709589e-06
11; 3.232347220420838e-11; True; 8.565412994524604e-06; 1.1263853792846204e-05; 6.588883285224438e-06
12; 2.1082736787796022e-11; True; 6.005995103989617e-06; 8.661796647310257e-06; 3.4253472652286293e-06
13; 7.525189162254335e-11; False; 1.300396327859267e-05; 1.4844403776526453e-05; 7.551718062534929e-06
14; 3.728262018203736e-11; True; 7.718226141546019e-06; 7.4588318590074786e-06; 6.630150022730232e-06
15; 3.7002873373031624e-11; True; 7.302791247109078e-06; 8.174727476760745e-06; 6.216413794457913e-06
16; 5.503382678985597e-11; True; 9.128409777074518e-06; 1.1269163383543492e-05; 7.394803475588561e-06
17; 4.8141882677078256e-11; True; 8.811914273570059e-06; 1.1693050979822875e-05; 5.54577075727284e-06
18; 6.340079953193665e-11; False; 1.677386766446973e-05; 1.6670615839958193e-05; 1.0475582759827376e-05
19; 5.973865948677064e-11; True; 9.830796224890171e-06; 1.33935934022069e-05; 6.586667102947832e-06
20; 3.664683197975159e-11; True; 8.429126071713832e-06; 8.534821508824825e-06; 6.298830468207598e-06
21; 3.349332249641419e-11; False; 9.193638086632174e-06; 9.57023975364864e-06; 5.619462620094419e-06
22; 2.28883752822876e-11; True; 5.881867435877736e-06; 6.942772858589888e-06; 4.435723197832704e-06
23; 2.0268927888870243e-11; True; 6.22057377295936e-06; 1.0023168280348183e-05; 2.847793617099524e-06
24; 3.265408206939698e-11; True; 7.108628751657099e-06; 8.607738346606493e-06; 5.326556080579758e-06
25; 9.651264910697938e-11; True; 1.2233609211509869e-05; 1.5021250620484353e-05; 9.087394895404579e-06
26; 1.2731022962570192e-10; True; 1.761939518229474e-05; 1.749532034993172e-05; 1.0121593418717386e-05
27; 4.178400065422059e-11; True; 8.359702072014214e-06; 1.1768508245050909e-05; 5.8917646870017055e-06
28; 3.5553276271820073e-11; True; 7.689200173287819e-06; 1.0513754872232676e-05; 4.6638184204697615e-06
29; 8.082139627456666e-11; True; 1.1231873416533904e-05; 1.3270829192548991e-05; 8.057711470872164e-06
30; 7.9778703622818e-11; False; 1.3486934166030078e-05; 1.7862646935135128e-05; 8.187013509497047e-06
31; 4.346248150825501e-11; False; 8.979349348356487e-06; 1.0570155281573534e-05; 6.453818442672491e-06
32; 1.0353175086021426e-10; True; 1.4257550649884486e-05; 2.0755433371663097e-05; 7.771960225328804e-06
33; 2.276121764183045e-11; False; 7.347505830781225e-06; 8.488874812424184e-06; 4.27510108333081e-06
34; 2.5406096563339237e-11; True; 6.482249162859172e-06; 9.337330737337471e-06; 4.157711252570153e-06
35; 2.123532595634461e-11; True; 5.737967130547809e-06; 7.89154950901866e-06; 3.912136599421501e-06
36; 2.591472712516785e-11; True; 6.395239630897549e-06; 7.801374068111181e-06; 4.3695543704554445e-06
37; 1.6662737205505373e-10; True; 1.9863795626675446e-05; 1.6126516628265383e-05; 1.4798263628035785e-05
